Satellite ID(Fake),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
1,1560.0,1450.0,1100.0,2005-05-05,6.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649.0,"Remote sensing and mapping, land use, forest cover, river flow assessments."
2,680.0,,,2007-01-10,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,2007-001B,29710.0,"Remote sensing and mapping; panchromatic images at one-meter resolution to be used for civil planning ""and other cartographic needs."""
3,680.0,,,2008-04-28,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C9,2008-021A,32783.0,Military version of CartoSat 2; dedicated satellite for the Indian armed forces.
4,694.0,,,2010-07-12,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2010-035A,36795.0,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."
5,727.0,,,2016-06-22,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,2016-040A,41599.0,Lower orbit for military application.
6,714.0,,,2017-02-15,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,2017-008A,41948.0,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."
7,712.0,,,2017-06-22,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2017-036C,42767.0,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."
8,712.0,,,2018-01-11,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2018-004A,43111.0,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."
9,1625.0,,,2019-11-27,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2019-081A,44804.0,Most advanced earth observation satellite developed by India.
10,1500.0,,,2020-12-17,15.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV-XL,2020-099A,47256.0,
11,3400.0,1493.0,,2012-09-28,15.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2012-051B,38779.0,Also equipped with GAGAN (GPS Aided GEO Augmented Naviation).
12,5854.0,,,2018-12-04,15.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2018-100B,43824.0,Heaviest comms satellite ever built by IRSO. Ku- and Ka-band transponders.
13,1410.0,559.0,1430.0,2011-07-15,8.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C17,2011-034A,37746.0,C-band expansion at this location. Designed for quick turn-around deployment.
14,1982.0,,,2014-01-05,12.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2014-001A,39498.0,Replacement for GSAT-3.
15,3164.0,,,2015-01-10,12.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2015-065A,41028.0,
16,3181.0,,,2014-12-06,15.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2014-078A,40332.0,"Replacement for GSAT-3E. 48 transponders - 12 in the C band, 12 in the extended C and 24 in the Ku band."
17,3477.0,,,2017-06-28,15.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2017-040B,42815.0,Also hosts a payload to relay meteorological data and has a search and rescue support mission
18,3404.0,,,2016-10-05,15.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2016-060A,41793.0,
19,3136.0,,,2017-06-03,10.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV MK.3,2017-031A,42747.0,
20,3400.0,,,2018-11-14,10.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV MK.3,2018-089A,43698.0,High-throughput.
21,3357.0,,,2020-01-16,15.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2020-005A,45026.0,12 C-band transponders and 12 Ku-band transponders.
22,2536.0,,4700.0,2019-02-05,15.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2019-007B,44035.0,Ku-band services to India and neighboring islands and oceans.
23,2110.0,980.0,3100.0,2015-08-27,12.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2015-041A,40880.0,
24,3093.0,1426.0,6250.0,2011-05-20,12.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2011-022A,37605.0,Direct-to-home broadcast  and other domestic needs. Equipped with GAGAN (GPS Aided GEO Augmented Navigation).
25,380.0,,,2018-11-29,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2018-096A,43719.0,"Earth-facing imager capable of collecting data at 316 bands across the visible, near-infrared and shortwave infrared spectra."
26,8.4,,,2017-02-15,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL,2017-008B,41949.0,"Observe Earth’s surface, atmosphere and the conditions in the harsh environment of space."
27,8.0,,,2017-02-15,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV XL,2017-008G,41954.0,"Observe Earth’s surface, atmosphere and the conditions in the harsh environment of space."
28,5.0,,,2018-01-11,0.5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-004F,43116.0,Development of a platform for multiple uses.
29,2090.0,,,2013-07-25,,ISRO Satellite Center,India,Guiana Space Center,Ariane 5 ECA,2013-038B,39216.0,Advanced meteorological payloads plus a Data Relay Transponder and a Satellite Aided Search & Rescue payload
30,2200.0,,,2016-09-08,10.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,GSLV Mk.2,2016-054A,41752.0,"Carries color and infrared cameras to image storms day and night, and a sounder to collect temperature, humidity and ozone data in different layers of the atmosphere. The satellite will also relay observations from remote weather station and ocean buoys to forecast centers, and monitor for distress signals from ships, airplanes and others in need of rescue."
31,3028.0,1335.0,,2007-03-11,,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2007-007A,30793.0,"Television and telecommunications services; 12 Ku-band and 12 C-band transponders, Indian sub-continent."
32,2130.0,,3000.0,2007-09-02,12.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV F04,2007-037A,32050.0,"12 high-power Ku-band transponders designed to provide Direct-to-home (DTH) television services, Video Picture Transmission (VPT) and Digital Satellite News Gathering (DSNG)."
33,1425.0,614.0,1660.0,2013-07-01,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2013-034A,39199.0,First of a seven-satellite system.
34,1432.0,615.0,1660.0,2014-04-04,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2014-017A,39635.0,
35,1425.0,598.0,1660.0,2014-10-15,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2014-061A,40269.0,
36,1425.0,598.0,1600.0,2015-03-30,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-C27,2015-018A,40547.0,
37,1425.0,598.0,1600.0,2016-01-20,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-003A,41241.0,
38,1425.0,598.0,1600.0,2016-03-10,12.0,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-015A,41384.0,
39,1425.0,598.0,1600.0,2016-04-28,12.0,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2016-027A,41469.0,Final satellite in the seven-satellite regional system.
40,1425.0,598.0,1600.0,2018-04-11,10.0,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-035A,43286.0,
41,1360.0,,1200.0,2003-10-17,5.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV C5,2003-046A,28051.0,"Monitor agricultural, land, and water resources."
42,120.0,,,2018-01-11,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-004T,43128.0,"Panchromatic, color and near-infrared imagery"
43,6.0,,,2016-09-26,,"PES University, Bengaluru",India,Satish Dhawan Space Centre,PSLV,2016-059B,41784.0,Student-built satellite for remote sensing.
44,1235.0,,,2016-12-07,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2016-074A,41877.0,"Track agriculture, water resources, soil contamination, and the growth of Indian cities."
45,371.0,,,2016-09-26,5.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2016-059H,41790.0,"Funded and built in India to join an international fleet of orbiting radars designed to track hurricanes, typhoons and other tropical cyclones."
46,92.0,,,2011-04-20,2.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C16,2011-015B,37388.0,"Payloads a collaboration between Indian and Russian students, carries three science instruments."
