Satellite ID(Fake),Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes)
1,LEO,Sun-Synchronous,0.0,618.0,619.0,7.154611146884167e-05,97.9,97.1
2,LEO,Sun-Synchronous,0.0,632.0,635.0,0.0002141786249732,97.0,97.4
3,LEO,Sun-Synchronous,0.0,624.0,643.0,0.0013564646248304,97.9,97.4
4,LEO,Sun-Synchronous,0.0,622.0,645.0,0.0016420361247947,97.9,97.4
5,LEO,Sun-Synchronous,0.0,501.0,519.0,0.0013081395348837,97.5,94.8
6,LEO,Sun-Synchronous,0.0,491.0,508.0,0.0012373535191789,97.5,94.8
7,LEO,Sun-Synchronous,0.0,334.0,347.0,0.0009686312495343,96.92,91.34
8,LEO,Sun-Synchronous,0.0,495.0,510.0,0.0010913059294288,97.5,94.6
9,LEO,Sun-Synchronous,0.0,500.0,519.0,0.001380914310633,97.5,94.8
10,GEO,,78.0,35778.0,35795.0,0.0002016296419294,0.08,1436.1
11,GEO,,83.0,35777.0,35795.0,0.0002134927412467,0.06,1436.07
12,GEO,,74.0,35775.0,35798.0,0.0002727930449634,0.12,1436.09
13,GEO,,82.94,35761.0,35811.0,0.0005930353923522,0.09,1436.1
14,GEO,,74.0,35763.0,35810.0,0.0005574466570991,0.23,1436.1
15,GEO,,93.5,35782.0,35805.0,0.0002727477557603,0.1,1436.1
16,GEO,,55.0,35776.0,35798.0,0.0002609293830206,0.18,1436.1
17,GEO,,93.5,35757.0,35817.0,0.0007116255900562,0.0,1436.1
18,GEO,,74.0,35775.0,35812.0,0.0004387681288318,0.0,1436.1
19,GEO,,82.5,35777.0,35795.0,0.0002134927412467,0.0,1436.1
20,GEO,,55.0,37782.0,37807.0,0.0002830327525501,0.1,1436.1
21,GEO,,83.0,35794.0,35844.0,0.0005925715233828,0.12,1437.7
22,GEO,,48.0,35774.0,35799.0,0.000296514179308,0.1,1436.1
23,GEO,,83.0,35775.0,35775.0,0.0,0.0,1436.1
24,GEO,,55.0,35782.0,35796.0,0.0001660380938826,0.09,1436.23
25,LEO,Sun-Synchronous,0.0,647.0,648.0,7.125044531528322e-05,98.0,95.0
26,LEO,Sun-Synchronous,0.0,496.0,508.0,0.0008731082654249,97.5,94.6
27,LEO,Sun-Synchronous,0.0,496.0,508.0,0.0008731082654249,97.5,94.6
28,LEO,Sun-Synchronous,0.0,495.0,508.0,0.0009459361129302,97.5,94.6
29,GEO,,82.0,35782.0,35791.0,0.0001067451045508,0.24,1436.09
30,GEO,,74.0,35722.0,35851.0,0.0015300131652295,0.03,1436.1
31,GEO,,111.2,35760.0,35811.0,0.0006049032747802,0.04,1436.08
32,GEO,,73.97,37782.0,37791.0,0.0001019102510389,0.03,1436.11
33,GEO,,55.0,35712.0,35872.0,0.0018974431952943,27.1,1436.0
34,GEO,,55.0,35695.0,35880.0,0.0021941528790843,30.97,1436.14
35,GEO,,83.0,35690.0,35871.0,0.0021470682435558,4.96,1435.8
36,GEO,,111.7,35699.0,35834.0,0.001601936563312,30.04,1435.06
37,GEO,,111.7,35695.0,35874.0,0.0021231422505307,28.09,1436.01
38,GEO,,32.5,35700.0,35874.0,0.002063714211163,5.09,1436.13
39,GEO,,129.5,35774.0,35797.0,0.0002727995160773,5.06,1436.05
40,GEO,,55.0,35702.0,35872.0,0.0020162725051592,28.5,1436.1
41,LEO,Sun-Synchronous,0.0,817.0,823.0,0.0004172461752433,98.8,101.3
42,LEO,Sun-Synchronous,0.0,327.0,368.0,0.0030517305545217,97.2,91.4
43,LEO,Sun-Synchronous,0.0,661.0,704.0,0.0030485643388869,98.2,94.8
44,LEO,Sun-Synchronous,0.0,814.0,831.0,0.0011817865832464,98.7,101.3
45,LEO,Sun-Synchronous,0.0,717.0,731.0,0.0009867493656611,98.1,99.3
46,LEO,Sun-Synchronous,0.0,802.0,824.0,0.001531393568147,98.7,101.2
